activity,activityID,userID,"rating (hi = 50, low = 10)",,,unique users,# of ratings per user,,
"""The Exorcist"" Steps",g28970-d8830705,yummymayo,40,,,PrawetJ,225,avg ratings per user,1.5650
"""The Exorcist"" Steps",g28970-d8830705,WanderJunkie,50,,,LolaGo1,83,median ratings per user,1
"""The Exorcist"" Steps",g28970-d8830705,VVS108,50,,,QuickWhitTravel,105,# of unique users,"19,574"
"""The Exorcist"" Steps",g28970-d8830705,vladsuperman2,50,,,Chinapjs,71,# of users with 1 rating,"14,995"
"""The Exorcist"" Steps",g28970-d8830705,umbrellaman,40,,,HelenaGuerra,72,,
"""The Exorcist"" Steps",g28970-d8830705,toniferguson303,50,,,jaseaton,41,# of activities,441
"""The Exorcist"" Steps",g28970-d8830705,timothyr154,50,,,Brend482,54,# activities w/ reviews,393
"""The Exorcist"" Steps",g28970-d8830705,theplumbingmedic,30,,,TolerantTraveler,39,,
"""The Exorcist"" Steps",g28970-d8830705,TeemareeDotCom,30,,,BradJill,38,,
"""The Exorcist"" Steps",g28970-d8830705,supershark01,40,,,PlatinumHoney,34,,
"""The Exorcist"" Steps",g28970-d8830705,sjm8302,50,,,dvkremk,38,,
"""The Exorcist"" Steps",g28970-d8830705,Sharpattack,40,,,jess290718,37,8632134,
"""The Exorcist"" Steps",g28970-d8830705,selectreviewer,40,,,Gooner10-8,23,,
"""The Exorcist"" Steps",g28970-d8830705,Sarapool,40,,,Brellie,34,,
"""The Exorcist"" Steps",g28970-d8830705,Sammaguire36,50,,,TrailTrekker15,32,,
"""The Exorcist"" Steps",g28970-d8830705,RoryBlanch,50,,,MelB776,32,,
"""The Exorcist"" Steps",g28970-d8830705,Rockiroads,50,,,TeamWard,31,,
"""The Exorcist"" Steps",g28970-d8830705,rawband,50,,,lpMaggi713,27,,
"""The Exorcist"" Steps",g28970-d8830705,rainalini,50,,,margaretc007,26,,
"""The Exorcist"" Steps",g28970-d8830705,QuickWhitTravel,40,,,waterandmore,24,,
"""The Exorcist"" Steps",g28970-d8830705,PrawetJ,30,,,KyleF755,29,,
"""The Exorcist"" Steps",g28970-d8830705,PoppaChu,30,,,Anthony-Susan,27,,
"""The Exorcist"" Steps",g28970-d8830705,phutty,30,,,LisandroVoyager,25,,
"""The Exorcist"" Steps",g28970-d8830705,NYCBabeRomford,40,,,jeffl499,28,,
"""The Exorcist"" Steps",g28970-d8830705,Nav30,30,,,TV2451,23,,
"""The Exorcist"" Steps",g28970-d8830705,N3624NOjoeb,50,,,379roberts379,27,,
"""The Exorcist"" Steps",g28970-d8830705,mykonj,40,,,G3743BSdaniela,24,,
"""The Exorcist"" Steps",g28970-d8830705,mikeadey72,40,,,jlantern3,23,,
"""The Exorcist"" Steps",g28970-d8830705,MelissaPeery,40,,,BrandonK850,22,,
"""The Exorcist"" Steps",g28970-d8830705,Matty_Stuart,50,,,KGB777,22,,
"""The Exorcist"" Steps",g28970-d8830705,markhC8233VZ,30,,,SteveRainville99,20,,
"""The Exorcist"" Steps",g28970-d8830705,LollysLook,30,,,LollysLook,21,,
